Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen,ExpectedETEL,NumPrompts
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,131072,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,131072,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,131072,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,131072,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,262144,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,262144,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,262144,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,262144,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,524288,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,524288,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,524288,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,524288,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,1048576,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,1048576,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,1048576,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,128,1048576,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,131072,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,131072,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,131072,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,131072,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,262144,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,262144,1,2048,sonnet,1800,128,,2000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,262144,1,2048,sonnet,1800,128,,3000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,262144,1,2048,sonnet,1800,128,,5000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,524288,1,2048,sonnet,1800,128,,1000
b200-8,meta-llama/Llama-3.1-8B-Instruct,256,524288,1,2048,sonnet,1800,128,,2000
